"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 02 16:12:11 CST 2022","Sat Apr 02 16:12:11 CST 2022","61","test","test_api","","","","批量删除该角色",""
"passed","Sat Apr 02 16:12:11 CST 2022","Sat Apr 02 16:12:11 CST 2022","61","test","test_api","","","","添加角色2",""
"passed","Sat Apr 02 16:12:02 CST 2022","Sat Apr 02 16:12:02 CST 2022","31","test","test_api","","","","用户列表查询",""
"passed","Sat Apr 02 16:12:05 CST 2022","Sat Apr 02 16:12:06 CST 2022","1743","test","test_api","","","","删除用户",""
"passed","Sat Apr 02 16:12:11 CST 2022","Sat Apr 02 16:12:11 CST 2022","12","test","test_api","","","","获取secretKey",""
"passed","Sat Apr 02 16:11:52 CST 2022","Sat Apr 02 16:11:57 CST 2022","5174","test","test_api","","","","添加用户2",""
"passed","Sat Apr 02 16:12:11 CST 2022","Sat Apr 02 16:12:11 CST 2022","84","test","test_api","","","","编辑设备列表",""
"passed","Sat Apr 02 16:12:06 CST 2022","Sat Apr 02 16:12:10 CST 2022","4030","test","test_api","","","","批量删除",""
"passed","Sat Apr 02 16:12:11 CST 2022","Sat Apr 02 16:12:11 CST 2022","109","test","test_api","","","","编辑角色",""
"passed","Sat Apr 02 16:11:48 CST 2022","Sat Apr 02 16:11:48 CST 2022","78","test","test_api","","","","post请求实现登录",""
"passed","Sat Apr 02 16:12:11 CST 2022","Sat Apr 02 16:12:11 CST 2022","63","test","test_api","","","","角色查询获取id",""
"passed","Sat Apr 02 16:12:02 CST 2022","Sat Apr 02 16:12:04 CST 2022","2100","test","test_api","","","","用户编辑",""
"passed","Sat Apr 02 16:12:11 CST 2022","Sat Apr 02 16:12:11 CST 2022","16","test","test_api","","","","查询角色详情",""
"passed","Sat Apr 02 16:12:10 CST 2022","Sat Apr 02 16:12:11 CST 2022","92","test","test_api","","","","添加角色",""
"passed","Sat Apr 02 16:12:11 CST 2022","Sat Apr 02 16:12:11 CST 2022","84","test","test_api","","","","查询设备列表",""
"passed","Sat Apr 02 16:11:48 CST 2022","Sat Apr 02 16:11:52 CST 2022","4379","test","test_api","","","","添加用户",""
"passed","Sat Apr 02 16:12:11 CST 2022","Sat Apr 02 16:12:11 CST 2022","81","test","test_api","","","","删除角色",""
"passed","Sat Apr 02 16:12:05 CST 2022","Sat Apr 02 16:12:05 CST 2022","62","test","test_api","","","","登录该用户",""
"passed","Sat Apr 02 16:12:04 CST 2022","Sat Apr 02 16:12:05 CST 2022","78","test","test_api","","","","重置用户密码",""
"passed","Sat Apr 02 16:11:57 CST 2022","Sat Apr 02 16:12:02 CST 2022","4984","test","test_api","","","","添加用户3",""
"passed","Sat Apr 02 16:12:10 CST 2022","Sat Apr 02 16:12:10 CST 2022","42","test","test_api","","","","角色查询获取角色名",""
"passed","Sat Apr 02 16:12:11 CST 2022","Sat Apr 02 16:12:11 CST 2022","59","test","test_api","","","","删除设备列表",""
"passed","Sat Apr 02 16:11:48 CST 2022","Sat Apr 02 16:11:48 CST 2022","110","test","test_api","","","","添加基本角色",""
"passed","Sat Apr 02 16:11:48 CST 2022","Sat Apr 02 16:11:48 CST 2022","31","test","test_api","","","","角色列表查询",""
"passed","Sat Apr 02 16:12:11 CST 2022","Sat Apr 02 16:12:11 CST 2022","163","test","test_api","","","","添加设备",""
"passed","Sat Apr 02 16:12:11 CST 2022","Sat Apr 02 16:12:11 CST 2022","105","test","test_api","","","","添加角色3",""
